Time,Roll,Pitch,Data,Yaw,x,y,z,roll,pitch,yaw
"0 sec",0.07209702,-0.07228513,2.776445,0.5,0,0,-7,0,0,0
"0.001 sec",0.07207678,-0.0723053,2.776444,0.5,1.20534540681838e-10,1.2024256590415e-10,-6.99999952316284,0.0002800672,-0.0001183232,0.0001179927
"0.002 sec",0.07204291,-0.07233904,2.776445,0.5,2.10337391948201e-09,2.09887929258912e-09,-7.00000190734863,0.0007487438,-0.0004554751,0.0004539921
"0.003 sec",0.07200711,-0.0723747,2.776444,0.5,1.06233128960298e-08,1.06035384916936e-08,-7.00000858306885,0.001244201,-0.0009864687,0.0009827178
"0.004 sec",0.071971,-0.07241061,2.776445,0.5,3.30169562801075e-08,3.29641629548405e-08,-7.00001907348633,0.001743383,-0.001688454,0.001681048
"0.005 sec",0.07193485,-0.07244652,2.776444,0.5,7.89810812307223e-08,7.88745850854866e-08,-7.00003385543823,0.002242964,-0.002540536,0.002527871
"0.006 sec",0.07189868,-0.07248241,2.776445,0.5,1.60286290906697e-07,1.60108953650706e-07,-7.00005292892456,0.002742515,-0.003523633,0.003503936
"0.007 sec",0.0718625,-0.07251827,2.776445,0.5,2.90501219524231e-07,2.90248379997138e-07,-7.00007581710815,0.003241961,-0.00462033,0.004591703
"0.008 sec",0.07182631,-0.07255413,2.776444,0.5,4.84757435970096e-07,4.84448037241236e-07,-7.00010251998901,0.003741295,-0.005814761,0.005775216
"0.009 sec",0.07179011,-0.07258993,2.776445,0.5,7.59534259486827e-07,7.59223837576428e-07,-7.00013399124146,0.004240521,-0.007092484,0.007039974
"0.01 sec",0.0717539,-0.07262573,2.776444,0.5,1.13242947463732e-06,1.13222483832942e-06,-7.000168800354,0.00473965,-0.008440374,0.00837282
"0.011 sec",0.07171769,-0.07266149,2.776445,0.5,1.62200342401775e-06,1.62207857101748e-06,-7.00020790100098,0.005238692,-0.009846522,0.009761834
"0.012 sec",0.07168145,-0.07269724,2.776444,0.5,2.24759855882439e-06,2.24821201300074e-06,-7.00025129318237,0.005737661,-0.01130013,0.01119623
"0.013 sec",0.0716452,-0.07273296,2.776445,0.5,3.02919579553418e-06,3.03070828522323e-06,-7.00029850006104,0.006236569,-0.01279145,0.01266628
"0.014 sec",0.07160895,-0.07276865,2.776444,0.5,3.98728889194899e-06,3.99018244934268e-06,-7.00034999847412,0.006735429,-0.01431165,0.01416321
"0.015 sec",0.07157267,-0.07280433,2.776445,0.5,5.14271732754423e-06,5.14761632075533e-06,-7.00040578842163,0.007234253,-0.01585281,0.01567912
"0.016 sec",0.07153638,-0.07283999,2.776444,0.5,6.51661002848414e-06,6.52429753245087e-06,-7.00046491622925,0.007733051,-0.0174078,0.01720693
"0.017 sec",0.07150007,-0.07287563,2.776444,0.5,8.1302796388627e-06,8.14172108221101e-06,-7.00052881240845,0.008231835,-0.0189702,0.01874032
"0.018 sec",0.07146374,-0.07291125,2.776445,0.5,1.00050874607405e-05,1.00214492704254e-05,-7.00059652328491,0.008730613,-0.02053431,0.02027363
"0.019 sec",0.0714274,-0.07294685,2.776444,0.5,1.21623943414306e-05,1.21850634968723e-05,-7.00066804885864,0.009229395,-0.02209502,0.02180183
"0.02 sec",0.07139104,-0.07298243,2.776445,0.5,1.4623508832301e-05,1.4654112419521e-05,-7.0007438659668,0.009728187,-0.02364782,0.02332046
"0.021 sec",0.07135466,-0.073018,2.776444,0.5,1.74096167029347e-05,1.74500455614179e-05,-7.00082397460938,0.010227,-0.0251887,0.0248256
"0.022 sec",0.07131825,-0.07305355,2.776445,0.5,2.05417054530699e-05,2.05941287276801e-05,-7.00090789794922,0.01072583,-0.02671411,0.02631379
"0.023 sec",0.07128184,-0.07308908,2.776444,0.5,2.40404970099917e-05,2.41073830693495e-05,-7.00099563598633,0.01122469,-0.02822099,0.02778201
"0.024 sec",0.07124539,-0.0731246,2.776445,0.5,2.79264750133734e-05,2.80106069112662e-05,-7.00108766555786,0.01172358,-0.02970663,0.02922764
"0.025 sec",0.07120894,-0.0731601,2.776444,0.5,3.2219792046817e-05,3.23242893500719e-05,-7.00118398666382,0.01222251,-0.03116871,0.03064842
"0.026 sec",0.07117245,-0.07319559,2.776445,0.5,3.69402769138105e-05,3.70686138921883e-05,-7.00128412246704,0.01272147,-0.03260522,0.03204241
"0.027 sec",0.07113596,-0.07323106,2.776444,0.5,4.21073418692686e-05,4.22633529524319e-05,-7.00138854980469,0.01322048,-0.03401447,0.033408
"0.028 sec",0.07109943,-0.07326651,2.776445,0.5,4.77400280942675e-05,4.79279296996538e-05,-7.0014967918396,0.01371952,-0.03539505,0.03474381
"0.029 sec",0.07106289,-0.07330196,2.776444,0.5,5.38570238859393e-05,5.40814326086547e-05,-7.00160932540894,0.01421861,-0.03674576,0.03604873
