Time,desired yaw,desired x,desired y,desired z,WorldPosition_1,WorldPosition_2,WorldPosition_3,WorldVelocity_1,WorldVelocity_2,WorldVelocity_3,EulerZYX_1,EulerZYX_2,EulerZYX_3,BodyAngularRateRPY_1,BodyAngularRateRPY_2,BodyAngularRateRPY_3,Thrust,Roll CS,Pitch CS,Yaw CS,Thrust CS
"0 sec",0.6806784,0.3010184,0.2437599,-7.061348,0,0,-7,0,0,0,0,0,0,0,0,0,0,0.07209702,-0.07228513,0.5,13.88222
"0.01 sec",0.6806784,0.3010184,0.2437599,-7.061348,1.131703e-06,1.132951e-06,-7.000169,0.0004276879,0.0004286384,-0.03716091,0.00473965,-0.008428808,0.008384466,1.370566,-1.371163,0.5105804,13.88043,0.0717539,-0.07262573,0.5,13.88222
"0.02 sec",0.6806784,0.3010184,0.2437599,-7.061348,1.4604e-05,1.467358e-05,-7.000744,0.002616032,0.002632988,-0.07784535,0.009728186,-0.02360488,0.02336394,1.528764,-1.530985,0.5345731,13.8818,0.07139104,-0.07298243,0.5,13.88222
"0.03 sec",0.6806784,0.3010184,0.2437599,-7.061348,6.037811e-05,6.084013e-05,-7.001726,0.006864217,0.006933141,-0.1184338,0.01471773,-0.03799008,0.03739883,1.28009,-1.280679,0.5470565,13.88085,0.07102633,-0.07333738,0.5,13.88222
"0.04 sec",0.6806784,0.3010184,0.2437599,-7.061348,0.0001577036,0.0001593215,-7.003112,0.01285407,0.01302531,-0.1588913,0.01971122,-0.04938135,0.04833391,0.9536582,-0.9512265,0.545517,13.88147,0.07065956,-0.07369078,0.5,13.88222
"0.05 sec",0.6806784,0.3010184,0.2437599,-7.061348,0.0003217726,0.0003258451,-7.004903,0.02014021,0.02046893,-0.1992215,0.02470787,-0.05767507,0.05610422,0.6667104,-0.6616611,0.536891,13.88116,0.07029082,-0.07404253,0.5,13.88222
"0.06 sec",0.6806784,0.3010184,0.2437599,-7.061348,0.000563498,0.0005718662,-7.007096,0.02832697,0.02886552,-0.2394471,0.02970633,-0.06344487,0.06130621,0.4479546,-0.4413284,0.5269255,13.88137,0.1457645,-0.1564349,0.5,6.677207
"0.07 sec",0.6806784,0.3010184,0.2437599,-7.061348,0.0008694092,0.0008837858,-7.009351,0.03289155,0.03355438,-0.2096523,0.03469814,-0.07692973,0.07344735,1.735582,-1.837973,0.6335543,6.678446,0.1620401,-0.1761399,0.5,5.97964
"0.08 sec",0.6806784,0.3010184,0.2437599,-7.061348,0.001222545,0.001244163,-7.011255,0.03793017,0.03871822,-0.1710899,0.03967655,-0.09900367,0.09321056,2.122151,-2.270324,0.7095233,5.980526,0.1611658,-0.1769389,0.5,5.979641
"0.09 sec",0.6806784,0.3010184,0.2437599,-7.061348,0.001632241,0.001662462,-7.012772,0.04421133,0.04514915,-0.1321045,0.04465465,-0.1210954,0.1126695,1.82912,-1.95769,0.7191855,5.980592,0.1602876,-0.1777333,0.5,5.979641
