Time,desired yaw,desired x,desired y,desired z,WorldPosition_1,WorldPosition_2,WorldPosition_3,WorldVelocity_1,WorldVelocity_2,WorldVelocity_3,EulerZYX_1,EulerZYX_2,EulerZYX_3,BodyAngularRateRPY_1,BodyAngularRateRPY_2,BodyAngularRateRPY_3,Thrust,Roll CS,Pitch CS,Yaw CS,Thrust CS
"0 sec",0.2617994,0.37414,0.1002505,-6.938652,0,0,-7,0,0,0,0,0,0,0,0,0,0,0.09910134,-0.149263,0.07059374,-2.134036
"0.01 sec",0.2617994,0.37414,0.1002505,-6.938652,-3.598316e-07,-2.390474e-07,-6.999408,-0.0001360517,-9.040096e-05,0.1188922,0.0006585362,-0.01738378,0.0115375,1.882474,-2.833969,0.1006795,-2.133895,0.1679119,-0.170557,0.5,5.979641
"0.02 sec",0.2617994,0.37414,0.1002505,-6.938652,6.258046e-06,4.549447e-06,-6.998007,0.001831749,0.001364531,0.1593325,0.005390379,-0.05108344,0.04020254,3.425015,-3.553331,0.6365271,5.97929,0.1243017,0.01145675,0.4925305,7.537473
"0.03 sec",0.2617994,0.37414,0.1002505,-6.938652,4.630223e-05,3.726492e-05,-6.996295,0.006340032,0.00555913,0.1827135,0.01029592,-0.06380624,0.06894875,2.417422,0.3816756,0.4666217,7.536372,0.09707855,-0.05263907,0.5180857,11.64897
"0.04 sec",0.2617994,0.37414,0.1002505,-6.938652,0.0001449062,0.0001365466,-6.994547,0.01336787,0.01469081,0.1659562,0.01546645,-0.06059263,0.08554348,1.121044,0.3318878,0.490739,11.64874,0.07533003,-0.04577241,0.5159937,13.26423
"0.05 sec",0.2617994,0.37414,0.1002505,-6.938652,0.000316646,0.0003420916,-6.993052,0.02091691,0.0265615,0.1325786,0.0206283,-0.05726651,0.09044007,0.08986977,0.3925864,0.4816703,13.26343,0.0573585,0.02697085,0.513023,13.39403
"0.06 sec",0.2617994,0.37414,0.1002505,-6.938652,0.0005607724,0.0006685604,-6.991902,0.02763406,0.03865363,0.09748886,0.02575768,-0.04551343,0.08694272,-0.5869053,1.719722,0.364014,13.39286,0.04577566,0.0490758,0.5203943,13.03027
"0.07 sec",0.2617994,0.37414,0.1002505,-6.938652,0.0008610407,0.001110828,-6.991086,0.03196613,0.0496045,0.06572904,0.0309493,-0.02510085,0.07878084,-0.9041855,2.223703,0.3452559,13.03092,0.03771757,0.03855818,0.5269329,11.91787
"0.08 sec",0.2617994,0.37414,0.1002505,-6.938652,0.001190078,0.0016524,-6.990535,0.03344504,0.05847991,0.04470722,0.03620519,-0.005451448,0.06891837,-0.9844118,1.752995,0.4062797,11.91954,0.0284312,0.0153394,0.5205128,10.37259
"0.09 sec",0.2617994,0.37414,0.1002505,-6.938652,0.00152359,0.002271412,-6.990119,0.03305198,0.0651115,0.03889823,0.04140708,0.006590637,0.05871799,-0.9986157,0.8270124,0.4723571,10.37358,-0.006518051,0.01586435,0.5034774,9.182895
