Time,Roll,Pitch,Data,Yaw,x,y,z,roll,pitch,yaw,desired x,desired y,desired z,desired yaw
"0 sec",0.07209702,-0.07228513,2.776445,0.5,0,0,-7,0,0,0,0.3782845,0.101361,-7.020525,0.2617994
"0.01 sec",0.0717539,-0.07262573,2.776444,0.5,1.13170335680479e-06,1.13295118353562e-06,-7.000168800354,0.00473965,-0.008428808,0.008384466,0.3782845,0.101361,-7.020525,0.2617994
"0.02 sec",0.07139104,-0.07298243,2.776445,0.5,1.46039956234745e-05,1.46735746966442e-05,-7.0007438659668,0.009728186,-0.02360488,0.02336394,0.3782845,0.101361,-7.020525,0.2617994
"0.03 sec",0.07102633,-0.07333738,2.776445,0.4941633,6.03781081736088e-05,6.08401278441306e-05,-7.00172567367554,0.01471773,-0.03799008,0.03739883,0.3782845,0.101361,-7.020525,0.2617994
"0.04 sec",0.09523834,-0.09952268,2.06143,0.4842871,0.000157704052980989,0.000159321032697335,-7.00311231613159,0.01965585,-0.04938114,0.04833413,0.3782845,0.101361,-7.020525,0.2617994
"0.05 sec",0.1638192,-0.1744888,1.195928,0.4746031,0.000313354568788782,0.000317234545946121,-7.00473356246948,0.02449785,-0.06068616,0.05896413,0.3782845,0.101361,-7.020525,0.2617994
"0.06 sec",0.1629958,-0.1752572,1.195928,0.465137,0.000517433567438275,0.000524624425452203,-7.00619602203369,0.02923088,-0.08056222,0.07731269,0.3782845,0.101361,-7.020525,0.2617994
"0.07 sec",0.1621871,-0.1760048,1.195928,0.4558808,0.000768317608162761,0.000779785157646984,-7.00727224349976,0.03385901,-0.1052468,0.09979003,0.3782845,0.101361,-7.020525,0.2617994
"0.08 sec",0.1613901,-0.1767346,1.195928,0.4467964,0.00107947259675711,0.00109642604365945,-7.00795936584473,0.03840122,-0.1267507,0.1190103,0.3782845,0.101361,-7.020525,0.2617994
"0.09 sec",0.1439378,-0.1585936,1.333275,0.4378754,0.00146264699287713,0.0014866393757984,-7.0082540512085,0.04286167,-0.143195,0.1333109,0.3782845,0.101361,-7.020525,0.2617994
